arm,segment,step,scored_px,ink_px,best_f1,best_threshold,precision,recall,iou,balanced_accuracy
loso42,pherc1667-w029,010000,1212915,356210,0.5682,98,0.4962,0.6647,0.3969,0.6920
loso42,pherc1667-w029,020000,1212915,356210,0.5889,92,0.5393,0.6486,0.4173,0.7091
loso42,pherc1667-w029,030000,1212915,356210,0.5639,84,0.5163,0.6212,0.3927,0.6896
loso42,pherc1667-w029,040000,1212915,356210,0.5505,82,0.4825,0.6409,0.3798,0.6776
loso42,pherc1667-w029,050000,1212915,356210,0.5600,82,0.4820,0.6680,0.3889,0.6848
loso42,pherc1667-w029,060000,1212915,356210,0.5546,73,0.4486,0.7261,0.3837,0.6775
loso42,pherc1667-w029,075000,1212915,356210,0.5572,74,0.4782,0.6673,0.3862,0.6823
loso43,pherc1667-w029,010000,1212915,356210,0.5817,109,0.5766,0.5870,0.4102,0.7039
loso43,pherc1667-w029,020000,1212915,356210,0.5851,88,0.5046,0.6961,0.4135,0.7060
loso43,pherc1667-w029,030000,1212915,356210,0.5481,72,0.4711,0.6553,0.3775,0.6747
loso43,pherc1667-w029,040000,1212915,356210,0.5515,77,0.4931,0.6257,0.3808,0.6791
loso43,pherc1667-w029,050000,1212915,356210,0.5438,72,0.4663,0.6522,0.3735,0.6709
loso43,pherc1667-w029,060000,1212915,356210,0.5381,76,0.4761,0.6187,0.3681,0.6678
loso43,pherc1667-w029,075000,1212915,356210,0.5375,70,0.4519,0.6632,0.3675,0.6644
ref42,pherc1667-w029,010000,1212915,356210,0.7195,122,0.6539,0.7998,0.5619,0.8119
ref42,pherc1667-w029,020000,1212915,356210,0.8728,128,0.8661,0.8796,0.7743,0.9115
ref42,pherc1667-w029,030000,1212915,356210,0.9368,127,0.9401,0.9336,0.8811,0.9544
ref42,pherc1667-w029,040000,1212915,356210,0.9598,129,0.9599,0.9596,0.9226,0.9715
ref42,pherc1667-w029,050000,1212915,356210,0.9728,129,0.9716,0.9740,0.9470,0.9811
ref42,pherc1667-w029,060000,1212915,356210,0.9815,142,0.9821,0.9809,0.9636,0.9867
ref42,pherc1667-w029,075000,1212915,356210,0.9859,136,0.9862,0.9855,0.9721,0.9899
ref43,pherc1667-w029,010000,1212915,356210,0.6833,115,0.6481,0.7226,0.5190,0.7797
ref43,pherc1667-w029,020000,1212915,356210,0.8504,119,0.8240,0.8787,0.7398,0.9003
ref43,pherc1667-w029,030000,1212915,356210,0.9208,128,0.9281,0.9136,0.8532,0.9421
ref43,pherc1667-w029,040000,1212915,356210,0.9537,130,0.9552,0.9522,0.9115,0.9668
ref43,pherc1667-w029,050000,1212915,356210,0.9626,138,0.9635,0.9617,0.9279,0.9733
ref43,pherc1667-w029,060000,1212915,356210,0.9761,134,0.9758,0.9765,0.9534,0.9832
ref43,pherc1667-w029,075000,1212915,356210,0.9829,134,0.9832,0.9826,0.9664,0.9878
loso42,pherc1667-w028,010000,844780,230538,0.5326,104,0.4405,0.6734,0.3629,0.6762
loso42,pherc1667-w028,020000,844780,230538,0.5119,116,0.4799,0.5484,0.3440,0.6627
loso42,pherc1667-w028,030000,844780,230538,0.4711,78,0.3684,0.6534,0.3082,0.6165
loso42,pherc1667-w028,040000,844780,230538,0.5148,94,0.4351,0.6303,0.3466,0.6616
loso42,pherc1667-w028,050000,844780,230538,0.5290,101,0.4490,0.6437,0.3596,0.6736
loso42,pherc1667-w028,060000,844780,230538,0.5069,98,0.4349,0.6074,0.3395,0.6556
loso42,pherc1667-w028,075000,844780,230538,0.5205,88,0.4372,0.6432,0.3518,0.6662
loso43,pherc1667-w028,010000,844780,230538,0.5382,107,0.4596,0.6494,0.3682,0.6814
loso43,pherc1667-w028,020000,844780,230538,0.5398,108,0.4671,0.6394,0.3697,0.6828
loso43,pherc1667-w028,030000,844780,230538,0.5403,81,0.4623,0.6499,0.3701,0.6831
loso43,pherc1667-w028,040000,844780,230538,0.5520,78,0.4426,0.7331,0.3812,0.6933
loso43,pherc1667-w028,050000,844780,230538,0.5147,70,0.3912,0.7519,0.3465,0.6564
loso43,pherc1667-w028,060000,844780,230538,0.5069,83,0.4202,0.6387,0.3395,0.6540
loso43,pherc1667-w028,075000,844780,230538,0.5160,77,0.4254,0.6556,0.3477,0.6616
ref42,pherc1667-w028,010000,844780,230538,0.7845,136,0.7812,0.7878,0.6454,0.8525
ref42,pherc1667-w028,020000,844780,230538,0.9202,132,0.9222,0.9182,0.8522,0.9446
ref42,pherc1667-w028,030000,844780,230538,0.9568,128,0.9514,0.9622,0.9172,0.9719
ref42,pherc1667-w028,040000,844780,230538,0.9738,128,0.9734,0.9741,0.9489,0.9821
ref42,pherc1667-w028,050000,844780,230538,0.9811,125,0.9783,0.9839,0.9629,0.9879
ref42,pherc1667-w028,060000,844780,230538,0.9853,141,0.9867,0.9840,0.9711,0.9895
ref42,pherc1667-w028,075000,844780,230538,0.9900,130,0.9886,0.9913,0.9801,0.9935
ref43,pherc1667-w028,010000,844780,230538,0.7166,122,0.6837,0.7528,0.5583,0.8110
ref43,pherc1667-w028,020000,844780,230538,0.8944,117,0.8721,0.9178,0.8089,0.9336
ref43,pherc1667-w028,030000,844780,230538,0.9357,136,0.9453,0.9263,0.8792,0.9531
ref43,pherc1667-w028,040000,844780,230538,0.9667,131,0.9670,0.9664,0.9356,0.9770
ref43,pherc1667-w028,050000,844780,230538,0.9716,133,0.9653,0.9780,0.9448,0.9824
ref43,pherc1667-w028,060000,844780,230538,0.9823,136,0.9824,0.9822,0.9652,0.9878
ref43,pherc1667-w028,075000,844780,230538,0.9871,132,0.9856,0.9886,0.9745,0.9916
loso42,pherc1667-w031,010000,2621780,624019,0.5559,97,0.5185,0.5992,0.3850,0.7127
loso42,pherc1667-w031,020000,2621780,624019,0.5535,79,0.4852,0.6441,0.3826,0.7153
loso42,pherc1667-w031,030000,2621780,624019,0.5083,74,0.4453,0.5921,0.3407,0.6808
loso42,pherc1667-w031,040000,2621780,624019,0.5010,76,0.4581,0.5528,0.3342,0.6742
loso42,pherc1667-w031,050000,2621780,624019,0.5199,90,0.5496,0.4933,0.3513,0.6835
loso42,pherc1667-w031,060000,2621780,624019,0.4909,80,0.4580,0.5290,0.3253,0.6667
loso42,pherc1667-w031,075000,2621780,624019,0.5204,76,0.5073,0.5342,0.3517,0.6860
loso43,pherc1667-w031,010000,2621780,624019,0.5632,99,0.5578,0.5688,0.3920,0.7140
loso43,pherc1667-w031,020000,2621780,624019,0.5686,90,0.5607,0.5768,0.3973,0.7178
loso43,pherc1667-w031,030000,2621780,624019,0.5491,74,0.5313,0.5681,0.3785,0.7058
loso43,pherc1667-w031,040000,2621780,624019,0.5172,75,0.4803,0.5602,0.3488,0.6854
loso43,pherc1667-w031,050000,2621780,624019,0.5203,72,0.5066,0.5349,0.3517,0.6861
loso43,pherc1667-w031,060000,2621780,624019,0.5099,72,0.4724,0.5539,0.3422,0.6803
loso43,pherc1667-w031,075000,2621780,624019,0.4979,70,0.4694,0.5302,0.3315,0.6715
ref42,pherc1667-w031,010000,2621780,624019,0.6853,116,0.6763,0.6945,0.5212,0.7953
ref42,pherc1667-w031,020000,2621780,624019,0.8492,118,0.8565,0.8421,0.7380,0.8990
ref42,pherc1667-w031,030000,2621780,624019,0.9269,120,0.9245,0.9293,0.8637,0.9528
ref42,pherc1667-w031,040000,2621780,624019,0.9481,130,0.9519,0.9444,0.9014,0.9647
ref42,pherc1667-w031,050000,2621780,624019,0.9656,124,0.9634,0.9679,0.9336,0.9782
ref42,pherc1667-w031,060000,2621780,624019,0.9762,134,0.9761,0.9762,0.9535,0.9844
ref42,pherc1667-w031,075000,2621780,624019,0.9813,130,0.9819,0.9807,0.9633,0.9875
ref43,pherc1667-w031,010000,2621780,624019,0.6824,110,0.6831,0.6818,0.5180,0.7915
ref43,pherc1667-w031,020000,2621780,624019,0.8159,102,0.8207,0.8111,0.6890,0.8779
ref43,pherc1667-w031,030000,2621780,624019,0.9044,122,0.9148,0.8942,0.8255,0.9341
ref43,pherc1667-w031,040000,2621780,624019,0.9394,127,0.9396,0.9393,0.8857,0.9602
ref43,pherc1667-w031,050000,2621780,624019,0.9590,129,0.9598,0.9583,0.9213,0.9729
ref43,pherc1667-w031,060000,2621780,624019,0.9686,127,0.9670,0.9703,0.9392,0.9800
ref43,pherc1667-w031,075000,2621780,624019,0.9766,132,0.9771,0.9760,0.9542,0.9844
loso42,pherc1667-w023,010000,5403941,1295831,0.4640,90,0.3913,0.5699,0.3021,0.6452
loso42,pherc1667-w023,020000,5403941,1295831,0.4672,77,0.3974,0.5668,0.3048,0.6479
loso42,pherc1667-w023,030000,5403941,1295831,0.4452,70,0.3596,0.5842,0.2863,0.6280
loso42,pherc1667-w023,040000,5403941,1295831,0.4452,69,0.3504,0.6103,0.2863,0.6267
loso42,pherc1667-w023,050000,5403941,1295831,0.4514,71,0.3744,0.5683,0.2915,0.6344
loso42,pherc1667-w023,060000,5403941,1295831,0.4259,72,0.3595,0.5223,0.2705,0.6144
loso42,pherc1667-w023,075000,5403941,1295831,0.4267,70,0.3685,0.5067,0.2712,0.6164
loso43,pherc1667-w023,010000,5403941,1295831,0.4749,92,0.4182,0.5492,0.3114,0.6541
loso43,pherc1667-w023,020000,5403941,1295831,0.4789,86,0.4218,0.5538,0.3148,0.6572
loso43,pherc1667-w023,030000,5403941,1295831,0.4428,72,0.3996,0.4965,0.2844,0.6306
loso43,pherc1667-w023,040000,5403941,1295831,0.4451,71,0.3757,0.5459,0.2863,0.6299
loso43,pherc1667-w023,050000,5403941,1295831,0.4207,67,0.3482,0.5313,0.2664,0.6088
loso43,pherc1667-w023,060000,5403941,1295831,0.4292,68,0.3523,0.5491,0.2733,0.6154
loso43,pherc1667-w023,075000,5403941,1295831,0.4299,67,0.3452,0.5696,0.2738,0.6144
ref42,pherc1667-w023,010000,5403941,1295831,0.5929,112,0.5400,0.6573,0.4213,0.7403
ref42,pherc1667-w023,020000,5403941,1295831,0.7398,117,0.7360,0.7437,0.5871,0.8298
ref42,pherc1667-w023,030000,5403941,1295831,0.8646,106,0.8597,0.8695,0.7615,0.9124
ref42,pherc1667-w023,040000,5403941,1295831,0.9142,119,0.9114,0.9170,0.8420,0.9445
ref42,pherc1667-w023,050000,5403941,1295831,0.9458,129,0.9432,0.9485,0.8972,0.9652
ref42,pherc1667-w023,060000,5403941,1295831,0.9621,138,0.9593,0.9648,0.9269,0.9760
ref42,pherc1667-w023,075000,5403941,1295831,0.9714,132,0.9698,0.9729,0.9444,0.9817
ref43,pherc1667-w023,010000,5403941,1295831,0.5831,105,0.5213,0.6617,0.4116,0.7350
ref43,pherc1667-w023,020000,5403941,1295831,0.7097,100,0.7067,0.7126,0.5500,0.8097
ref43,pherc1667-w023,030000,5403941,1295831,0.8331,111,0.8389,0.8273,0.7139,0.8886
ref43,pherc1667-w023,040000,5403941,1295831,0.8982,118,0.8883,0.9084,0.8153,0.9362
