arm,segment,step,scored_px,ink_px,best_f1,best_threshold,precision,recall,iou,balanced_accuracy
loso42,w039,020000,574928,182382,0.5032,77,0.4959,0.5107,0.3362,0.6348
loso42,w039,030000,574928,182382,0.5303,80,0.4750,0.6003,0.3609,0.6460
loso42,w039,040000,574928,182382,0.5293,65,0.4062,0.7592,0.3599,0.6218
loso42,w039,050000,574928,182382,0.5240,65,0.4009,0.7560,0.3550,0.6156
loso42,w039,060000,574928,182382,0.5025,65,0.3872,0.7155,0.3356,0.5947
loso42,w039,075000,574928,182382,0.5258,68,0.4403,0.6525,0.3567,0.6336
loso43,w039,010000,574928,182382,0.5089,81,0.4164,0.6542,0.3413,0.6141
loso43,w039,020000,574928,182382,0.5751,77,0.4746,0.7295,0.4036,0.6772
loso43,w039,030000,574928,182382,0.5613,75,0.4754,0.6853,0.3902,0.6669
loso43,w039,040000,574928,182382,0.5087,66,0.3808,0.7660,0.3411,0.5936
loso43,w039,050000,574928,182382,0.5650,70,0.4790,0.6886,0.3937,0.6703
loso43,w039,060000,574928,182382,0.5818,78,0.5300,0.6447,0.4102,0.6895
loso43,w039,075000,574928,182382,0.5848,73,0.5502,0.6241,0.4133,0.6935
ref42,w039,010000,574928,182382,0.6937,134,0.6306,0.7708,0.5310,0.7805
ref42,w039,020000,574928,182382,0.8789,126,0.8701,0.8879,0.7840,0.9132
ref42,w039,030000,574928,182382,0.9341,127,0.9144,0.9547,0.8764,0.9566
ref42,w039,040000,574928,182382,0.9593,122,0.9505,0.9682,0.9218,0.9724
ref42,w039,050000,574928,182382,0.9713,133,0.9683,0.9743,0.9442,0.9797
ref42,w039,060000,574928,182382,0.9785,143,0.9772,0.9799,0.9580,0.9846
ref42,w039,075000,574928,182382,0.9836,135,0.9829,0.9843,0.9678,0.9882
ref43,w039,010000,574928,182382,0.7006,118,0.6491,0.7611,0.5392,0.7849
ref43,w039,020000,574928,182382,0.8549,117,0.8384,0.8721,0.7466,0.8970
ref43,w039,030000,574928,182382,0.9279,121,0.9099,0.9467,0.8656,0.9516
ref43,w039,040000,574928,182382,0.9417,132,0.9364,0.9470,0.8897,0.9586
ref43,w039,050000,574928,182382,0.9663,130,0.9620,0.9707,0.9349,0.9764
ref43,w039,060000,574928,182382,0.9721,139,0.9715,0.9727,0.9457,0.9797
ref43,w039,075000,574928,182382,0.9791,131,0.9772,0.9809,0.9590,0.9851
loso42,w040,010000,1626899,716419,0.6377,77,0.5450,0.7684,0.4681,0.6318
loso42,w040,020000,1626899,716419,0.6502,70,0.5492,0.7966,0.4817,0.6411
loso42,w040,030000,1626899,716419,0.6265,71,0.4837,0.8889,0.4561,0.5712
loso42,w040,040000,1626899,716419,0.6217,63,0.4729,0.9071,0.4511,0.5558
loso42,w040,050000,1626899,716419,0.6241,63,0.4706,0.9260,0.4535,0.5532
loso42,w040,060000,1626899,716419,0.6203,63,0.4788,0.8806,0.4496,0.5631
loso42,w040,075000,1626899,716419,0.6284,63,0.4809,0.9064,0.4582,0.5683
loso43,w040,010000,1626899,716419,0.6211,76,0.4889,0.8514,0.4505,0.5755
loso43,w040,020000,1626899,716419,0.6519,75,0.5671,0.7664,0.4835,0.6530
loso43,w040,030000,1626899,716419,0.6299,69,0.5146,0.8119,0.4598,0.6046
loso43,w040,040000,1626899,716419,0.6261,66,0.5064,0.8199,0.4557,0.5955
loso43,w040,050000,1626899,716419,0.6283,64,0.5119,0.8134,0.4581,0.6015
loso43,w040,060000,1626899,716419,0.6166,63,0.4706,0.8942,0.4457,0.5513
loso43,w040,075000,1626899,716419,0.6168,62,0.4575,0.9464,0.4459,0.5316
ref42,w040,010000,1626899,716419,0.7317,122,0.6877,0.7817,0.5769,0.7512
ref42,w040,020000,1626899,716419,0.8054,117,0.7857,0.8260,0.6741,0.8244
ref42,w040,030000,1626899,716419,0.8772,120,0.8626,0.8924,0.7813,0.8903
ref42,w040,040000,1626899,716419,0.9084,130,0.8983,0.9188,0.8322,0.9185
ref42,w040,050000,1626899,716419,0.9370,130,0.9248,0.9494,0.8814,0.9444
ref42,w040,060000,1626899,716419,0.9559,137,0.9510,0.9608,0.9155,0.9609
ref42,w040,075000,1626899,716419,0.9660,133,0.9622,0.9698,0.9342,0.9699
ref43,w040,010000,1626899,716419,0.7173,108,0.6573,0.7893,0.5592,0.7327
ref43,w040,020000,1626899,716419,0.7773,101,0.7564,0.7995,0.6358,0.7984
ref43,w040,030000,1626899,716419,0.8558,121,0.8341,0.8788,0.7480,0.8706
ref43,w040,040000,1626899,716419,0.8908,137,0.8741,0.9083,0.8031,0.9026
ref43,w040,050000,1626899,716419,0.9281,130,0.9199,0.9364,0.8658,0.9361
ref43,w040,060000,1626899,716419,0.9435,130,0.9374,0.9497,0.8931,0.9499
ref43,w040,075000,1626899,716419,0.9595,131,0.9562,0.9627,0.9221,0.9640
loso42,w041,010000,554742,229850,0.6751,82,0.6052,0.7633,0.5096,0.7055
loso42,w041,020000,554742,229850,0.6576,71,0.5795,0.7599,0.4899,0.6849
loso42,w041,030000,554742,229850,0.6648,79,0.6450,0.6859,0.4979,0.7094
loso42,w041,040000,554742,229850,0.6418,65,0.5505,0.7694,0.4725,0.6624
loso42,w041,050000,554742,229850,0.6581,65,0.5658,0.7864,0.4904,0.6797
loso42,w041,060000,554742,229850,0.6443,65,0.5830,0.7200,0.4753,0.6778
loso42,w041,075000,554742,229850,0.6540,65,0.5868,0.7385,0.4858,0.6853
loso43,w041,010000,554742,229850,0.6102,80,0.5493,0.6863,0.4391,0.6439
loso43,w041,020000,554742,229850,0.7025,80,0.6679,0.7408,0.5414,0.7401
loso43,w041,030000,554742,229850,0.6663,72,0.6202,0.7197,0.4995,0.7039
loso43,w041,040000,554742,229850,0.6519,67,0.5632,0.7738,0.4836,0.6746
loso43,w041,050000,554742,229850,0.6662,66,0.5962,0.7549,0.4995,0.6966
loso43,w041,060000,554742,229850,0.6429,67,0.5902,0.7059,0.4737,0.6796
loso43,w041,075000,554742,229850,0.6452,65,0.5806,0.7260,0.4762,0.6775
ref42,w041,010000,554742,229850,0.7589,125,0.7325,0.7872,0.6115,0.7919
ref42,w041,020000,554742,229850,0.8836,123,0.8889,0.8783,0.7914,0.9003
ref42,w041,030000,554742,229850,0.9422,121,0.9403,0.9442,0.8908,0.9509
ref42,w041,040000,554742,229850,0.9590,124,0.9543,0.9637,0.9212,0.9655
ref42,w041,050000,554742,229850,0.9776,133,0.9763,0.9790,0.9563,0.9811
ref42,w041,060000,554742,229850,0.9817,137,0.9801,0.9834,0.9641,0.9846
ref42,w041,075000,554742,229850,0.9862,134,0.9866,0.9858,0.9728,0.9882
ref43,w041,010000,554742,229850,0.7400,114,0.7039,0.7801,0.5874,0.7740
ref43,w041,020000,554742,229850,0.8837,122,0.8846,0.8828,0.7916,0.9007
ref43,w041,030000,554742,229850,0.9257,126,0.9286,0.9229,0.8617,0.9363
ref43,w041,040000,554742,229850,0.9510,133,0.9459,0.9562,0.9066,0.9587
ref43,w041,050000,554742,229850,0.9640,132,0.9630,0.9649,0.9305,0.9694
ref43,w041,060000,554742,229850,0.9787,132,0.9798,0.9775,0.9582,0.9816
ref43,w041,075000,554742,229850,0.9830,130,0.9832,0.9827,0.9665,0.9854
loso42,w044,010000,1189591,451290,0.6139,79,0.5126,0.7651,0.4429,0.6602
loso42,w044,020000,1189591,451290,0.6097,73,0.4924,0.8003,0.4385,0.6480
loso42,w044,030000,1189591,451290,0.5846,84,0.5199,0.6677,0.4130,0.6454
loso42,w044,040000,1189591,451290,0.6034,69,0.5133,0.7317,0.4320,0.6539
loso42,w044,050000,1189591,451290,0.5884,65,0.4561,0.8291,0.4169,0.6123
loso42,w044,060000,1189591,451290,0.5858,69,0.5133,0.6821,0.4142,0.6434
loso42,w044,075000,1189591,451290,0.5799,65,0.4500,0.8154,0.4084,0.6031
loso43,w044,010000,1189591,451290,0.6049,80,0.5351,0.6956,0.4336,0.6631
loso43,w044,020000,1189591,451290,0.6458,87,0.6156,0.6792,0.4769,0.7100
loso43,w044,030000,1189591,451290,0.6289,78,0.5705,0.7007,0.4587,0.6891
loso43,w044,040000,1189591,451290,0.6111,71,0.5228,0.7355,0.4400,0.6625
loso43,w044,050000,1189591,451290,0.6251,74,0.5630,0.7026,0.4547,0.6847
loso43,w044,060000,1189591,451290,0.6040,71,0.5240,0.7128,0.4327,0.6585
loso43,w044,075000,1189591,451290,0.5968,68,0.5078,0.7238,0.4253,0.6474
ref42,w044,010000,1189591,451290,0.7434,132,0.7390,0.7477,0.5916,0.7932
ref42,w044,020000,1189591,451290,0.8808,125,0.8694,0.8925,0.7870,0.9053
ref42,w044,030000,1189591,451290,0.9423,127,0.9345,0.9503,0.8909,0.9548
ref42,w044,040000,1189591,451290,0.9605,131,0.9618,0.9593,0.9241,0.9680
ref42,w044,050000,1189591,451290,0.9750,131,0.9730,0.9769,0.9511,0.9802
ref42,w044,060000,1189591,451290,0.9799,139,0.9806,0.9791,0.9605,0.9837
ref42,w044,075000,1189591,451290,0.9852,127,0.9836,0.9869,0.9709,0.9884
ref43,w044,010000,1189591,451290,0.7442,125,0.7241,0.7653,0.5925,0.7935
ref43,w044,020000,1189591,451290,0.8429,114,0.8108,0.8777,0.7285,0.8762
ref43,w044,030000,1189591,451290,0.9226,138,0.9200,0.9253,0.8564,0.9381
ref43,w044,040000,1189591,451290,0.9517,135,0.9442,0.9592,0.9078,0.9623
ref43,w044,050000,1189591,451290,0.9624,138,0.9623,0.9626,0.9276,0.9698
ref43,w044,060000,1189591,451290,0.9759,138,0.9762,0.9756,0.9529,0.9805
ref43,w044,075000,1189591,451290,0.9812,136,0.9799,0.9825,0.9631,0.9851
