arm,segment,step,scored_px,ink_px,best_f1,best_threshold,precision,recall,iou,balanced_accuracy
loso43,pherc0139-w028,020000,1756535,438216,0.6820,103,0.6226,0.7538,0.5174,0.8010
loso43,pherc0139-w028,030000,1756535,438216,0.6635,102,0.6199,0.7137,0.4965,0.7841
loso43,pherc0139-w028,040000,1756535,438216,0.6377,90,0.5829,0.7039,0.4681,0.7682
loso43,pherc0139-w028,050000,1756535,438216,0.6642,93,0.6313,0.7007,0.4972,0.7823
loso43,pherc0139-w028,060000,1756535,438216,0.6393,100,0.6125,0.6686,0.4699,0.7640
loso43,pherc0139-w028,075000,1756535,438216,0.6157,89,0.5714,0.6675,0.4448,0.7505
ref42,pherc0139-w028,010000,1756535,438216,0.7952,138,0.7785,0.8127,0.6600,0.8679
ref42,pherc0139-w028,020000,1756535,438216,0.8679,128,0.8643,0.8715,0.7666,0.9130
ref42,pherc0139-w028,030000,1756535,438216,0.9386,122,0.9393,0.9379,0.8843,0.9589
ref42,pherc0139-w028,040000,1756535,438216,0.9556,127,0.9546,0.9566,0.9150,0.9708
ref42,pherc0139-w028,050000,1756535,438216,0.9696,127,0.9652,0.9739,0.9409,0.9811
ref42,pherc0139-w028,060000,1756535,438216,0.9788,141,0.9795,0.9782,0.9585,0.9857
ref42,pherc0139-w028,075000,1756535,438216,0.9849,132,0.9842,0.9855,0.9702,0.9901
ref43,pherc0139-w028,010000,1756535,438216,0.7719,132,0.7680,0.7758,0.6285,0.8490
ref43,pherc0139-w028,020000,1756535,438216,0.8688,126,0.8676,0.8699,0.7680,0.9129
ref43,pherc0139-w028,030000,1756535,438216,0.9279,129,0.9264,0.9294,0.8655,0.9524
ref43,pherc0139-w028,040000,1756535,438216,0.9448,135,0.9423,0.9472,0.8953,0.9640
ref43,pherc0139-w028,050000,1756535,438216,0.9662,134,0.9672,0.9651,0.9345,0.9771
ref43,pherc0139-w028,060000,1756535,438216,0.9750,138,0.9767,0.9733,0.9512,0.9828
ref43,pherc0139-w028,075000,1756535,438216,0.9809,136,0.9807,0.9810,0.9625,0.9873
loso42,pherc0139-w029,010000,446574,111255,0.7141,94,0.7191,0.7093,0.5554,0.8087
loso42,pherc0139-w029,020000,446574,111255,0.6949,78,0.6726,0.7188,0.5325,0.8014
loso42,pherc0139-w029,030000,446574,111255,0.6556,76,0.5639,0.7830,0.4877,0.7910
loso42,pherc0139-w029,040000,446574,111255,0.7011,77,0.6871,0.7158,0.5398,0.8038
loso42,pherc0139-w029,050000,446574,111255,0.5845,66,0.4949,0.7138,0.4129,0.7360
loso42,pherc0139-w029,060000,446574,111255,0.6738,69,0.6068,0.7576,0.5081,0.7973
loso42,pherc0139-w029,075000,446574,111255,0.6493,68,0.5537,0.7847,0.4807,0.7874
