segment,seed,step,region,regions,scored_px,ink_px,best_f1,best_threshold,precision,recall,iou,balanced_accuracy
pherc1667-w029,42,030000,heldout,2,382353,88034,0.7159,114,0.6866,0.7478,0.5575,0.8228
pherc1667-w029,42,030000,train,7,1212915,356210,0.9368,127,0.9401,0.9336,0.8811,0.9544
pherc1667-w029,42,040000,heldout,2,382353,88034,0.6749,114,0.6419,0.7115,0.5093,0.7964
pherc1667-w029,42,040000,train,7,1212915,356210,0.9598,129,0.9599,0.9596,0.9226,0.9715
pherc1667-w029,42,050000,heldout,2,382353,88034,0.6785,117,0.6539,0.7050,0.5134,0.7967
pherc1667-w029,42,050000,train,7,1212915,356210,0.9728,129,0.9716,0.9740,0.9470,0.9811
pherc1667-w029,42,060000,heldout,2,382353,88034,0.6773,105,0.6295,0.7330,0.5121,0.8020
pherc1667-w029,42,060000,train,7,1212915,356210,0.9815,142,0.9821,0.9809,0.9636,0.9867
pherc1667-w029,42,075000,heldout,2,382353,88034,0.6581,118,0.6930,0.6265,0.4904,0.7717
pherc1667-w029,42,075000,train,7,1212915,356210,0.9859,136,0.9862,0.9855,0.9721,0.9899
pherc1667-w029,43,010000,heldout,2,382353,88034,0.6122,137,0.6237,0.6011,0.4411,0.7463
pherc1667-w029,43,010000,train,7,1212915,356210,0.6833,115,0.6481,0.7226,0.5190,0.7797
pherc1667-w029,43,020000,heldout,2,382353,88034,0.7303,116,0.6777,0.7919,0.5752,0.8396
pherc1667-w029,43,020000,train,7,1212915,356210,0.8504,119,0.8240,0.8787,0.7398,0.9003
pherc1667-w029,43,030000,heldout,2,382353,88034,0.7550,117,0.7297,0.7820,0.6064,0.8477
pherc1667-w029,43,030000,train,7,1212915,356210,0.9208,128,0.9281,0.9136,0.8532,0.9421
pherc1667-w029,43,040000,heldout,2,382353,88034,0.7428,131,0.7153,0.7726,0.5908,0.8403
pherc1667-w029,43,040000,train,7,1212915,356210,0.9537,130,0.9552,0.9522,0.9115,0.9668
pherc1667-w029,43,050000,heldout,2,382353,88034,0.7411,143,0.7378,0.7444,0.5887,0.8326
pherc1667-w029,43,050000,train,7,1212915,356210,0.9626,138,0.9635,0.9617,0.9279,0.9733
pherc1667-w029,43,060000,heldout,2,382353,88034,0.7546,133,0.7599,0.7494,0.6059,0.8393
pherc1667-w029,43,060000,train,7,1212915,356210,0.9761,134,0.9758,0.9765,0.9534,0.9832
pherc1667-w029,43,075000,heldout,2,382353,88034,0.7582,108,0.7117,0.8113,0.6106,0.8565
pherc1667-w029,43,075000,train,7,1212915,356210,0.9829,134,0.9832,0.9826,0.9664,0.9878
phercparis4-w00,42,010000,train,15,5799353,1335408,0.7896,154,0.8056,0.7741,0.6523,0.8591
phercparis4-w00,42,020000,train,15,5799353,1335408,0.8538,145,0.8632,0.8446,0.7450,0.9023
phercparis4-w00,42,030000,train,15,5799353,1335408,0.8767,145,0.8642,0.8896,0.7805,0.9239
phercparis4-w00,42,040000,train,15,5799353,1335408,0.8924,145,0.8798,0.9052,0.8056,0.9341
phercparis4-w00,42,050000,train,15,5799353,1335408,0.9018,142,0.8869,0.9172,0.8212,0.9411
phercparis4-w00,42,060000,train,15,5799353,1335408,0.9104,149,0.9030,0.9180,0.8356,0.9442
phercparis4-w00,42,075000,train,15,5799353,1335408,0.9180,150,0.9125,0.9235,0.8484,0.9485
phercparis4-w00,43,010000,train,15,5799353,1335408,0.7783,137,0.7800,0.7767,0.6371,0.8556
phercparis4-w00,43,020000,train,15,5799353,1335408,0.8484,134,0.8365,0.8607,0.7367,0.9052
phercparis4-w00,43,030000,train,15,5799353,1335408,0.8753,146,0.8674,0.8834,0.7783,0.9215
phercparis4-w00,43,040000,train,15,5799353,1335408,0.8913,145,0.8805,0.9024,0.8040,0.9329
phercparis4-w00,43,050000,train,15,5799353,1335408,0.9026,158,0.8981,0.9071,0.8225,0.9382
phercparis4-w00,43,060000,train,15,5799353,1335408,0.9093,153,0.9045,0.9142,0.8337,0.9427
phercparis4-w00,43,075000,train,15,5799353,1335408,0.9149,150,0.9094,0.9206,0.8432,0.9466
phercparis4-w02,42,010000,train,15,4653221,1088446,0.7621,138,0.7792,0.7457,0.6156,0.8406
phercparis4-w02,42,020000,train,15,4653221,1088446,0.8455,127,0.8538,0.8373,0.7323,0.8968
phercparis4-w02,42,030000,train,15,4653221,1088446,0.8587,123,0.8479,0.8697,0.7523,0.9110
phercparis4-w02,42,040000,train,15,4653221,1088446,0.8777,129,0.8679,0.8877,0.7821,0.9232
phercparis4-w02,42,050000,train,15,4653221,1088446,0.8932,130,0.8891,0.8974,0.8070,0.9316
phercparis4-w02,42,060000,train,15,4653221,1088446,0.9030,135,0.8994,0.9066,0.8231,0.9378
phercparis4-w02,42,075000,train,15,4653221,1088446,0.9161,136,0.9137,0.9185,0.8451,0.9460
phercparis4-w02,43,010000,train,15,4653221,1088446,0.7545,122,0.7417,0.7678,0.6058,0.8431
phercparis4-w02,43,020000,train,15,4653221,1088446,0.8225,116,0.8252,0.8198,0.6985,0.8834
phercparis4-w02,43,030000,train,15,4653221,1088446,0.8597,132,0.8585,0.8610,0.7540,0.9088
phercparis4-w02,43,040000,train,15,4653221,1088446,0.8809,131,0.8785,0.8833,0.7871,0.9230
phercparis4-w02,43,050000,train,15,4653221,1088446,0.8890,140,0.8822,0.8959,0.8002,0.9297
phercparis4-w02,43,060000,train,15,4653221,1088446,0.9025,134,0.8965,0.9086,0.8223,0.9383
phercparis4-w02,43,075000,train,15,4653221,1088446,0.9109,135,0.9060,0.9158,0.8363,0.9434
