scroll,segment,seed,arm,step,role,pixels,ink,fixed_threshold,fixed_f1,oracle_f1,legacy_fixed_f1,duplicate_pixel_counts
1667,pherc1667-w028,43,base,10000,evaluation,844780,230538,96,0.53130712103588,0.5382326768716349,0.53130712103588,0
1667,pherc1667-w028,43,ft,2500,evaluation,844780,230538,117,0.6066002435386043,0.613903021226209,0.6066002435386043,0
1667,pherc1667-w028,43,base20k,20000,evaluation,844780,230538,88,0.5301769915608618,0.5398343850602286,0.5301769915608618,0
1667,pherc1667-w029,42,base,10000,evaluation,1212915,356210,89,0.5586430420272191,0.5682204864235748,0.5586430420272191,0
1667,pherc1667-w029,42,ft,2500,evaluation,1212915,356210,107,0.6474489875543679,0.6558837895580003,0.6474489875543679,0
1667,pherc1667-w029,42,base20k,20000,evaluation,1212915,356210,81,0.5831831035304378,0.5889132191482257,0.5831831035304378,0
1667,pherc1667-w029,43,base,10000,evaluation,1212915,356210,96,0.5770887866822442,0.5817325884212167,0.5770887866822442,0
1667,pherc1667-w029,43,ft,2500,evaluation,1212915,356210,117,0.6687866953308559,0.6692829111666072,0.6687866953308559,0
1667,pherc1667-w029,43,base20k,20000,evaluation,1212915,356210,88,0.5851030193202518,0.5851030193202518,0.5851030193202518,0
1667,pherc1667-w031,42,base,10000,evaluation,2621780,624019,89,0.5511800146428776,0.5559266795176495,0.5511800146428776,0
1667,pherc1667-w031,42,ft,2500,evaluation,2621780,624019,107,0.6714227402328012,0.672226199054099,0.6714227402328012,0
1667,pherc1667-w031,42,base20k,20000,evaluation,2621780,624019,81,0.5532687763517583,0.5534627484543791,0.5532687763517583,0
1667,pherc1667-w031,43,base,10000,evaluation,2621780,624019,96,0.5622914587631707,0.5632454143454398,0.5622914587631707,0
1667,pherc1667-w031,43,ft,2500,evaluation,2621780,624019,117,0.6417973674318781,0.6547736843577299,0.6417973674318781,0
1667,pherc1667-w031,43,base20k,20000,evaluation,2621780,624019,88,0.5681006149891088,0.5686233156475836,0.5681006149891088,0
